,column_name,term_id
0,vm1,364075005
1,vm3,251071003
2,vm4,251073000
3,vm5,251075007
4,vm13,82799009
5,vm20,104847001
6,vm28,457441000124102
7,vm62,27913002
8,vm136,394960005
9,vm146,None
10,vm172,165581004
11,vm174,22569008
12,vm176,55235003
13,vm41,26523005
14,vm42,108480007
15,vm43,442790008
16,vm44,66493003
17,vm87,373216001
